year,population
1960,3014940576
1961,3055687609
1962,3108373617
1963,3173201695
1964,3238434345
1965,3305095242
1966,3374901054
1967,3444384268
1968,3514640744
1969,3589073783
1970,3664272593
1971,3741541714
1972,3818068940
1973,3893718462
1974,3970029141
1975,4044575350
1976,4117111273
1977,4189414966
1978,4262910060
1979,4338249022
1980,4414346350
1981,4492431457
1982,4573444550
1983,4655198350
1984,4736682387
1985,4819700189
1986,4905220771
1987,4992879249
1988,5081451285
1989,5170171946
1990,5267858782
1991,5355213641
1992,5439152683
1993,5523934551
1994,5607741676
1995,5692401124
1996,5775129813
1997,5857581133
1998,5939117479
1999,6019471875
2000,6099199339
2001,6178486753
2002,6257550582
2003,6336850768
2004,6416726485
2005,6497149624
2006,6578268592
2007,6659958703
2008,6742992629
2009,6826203361
2010,6909457748
2011,6991611658
2012,7071489168
2013,7156866236
2014,7242919634
2015,7328925052
2016,7415347904
2017,7501098086
